kode_prov,kode_kab,kode,nama_pemda,tkdd_pendapatan,tkdd_belanja,perubahan_apbd,grouping
16,72,1672,KOTA PAGAR ALAM,0.86877038822564700000,0.86818441226391000000,0.23743944746534600000,mandiri
65,4,6504,TANA TIDUNG,0.86208963876756500000,0.80578681251962100000,0.02660592626720590000,mandiri
81,72,8172,KOTA TUAL,0.85010688126569600000,0.85428836817530300000,1.00000000000000000000,mandiri
64,11,6411,MAHAKAM ULU,0.84891582364393800000,0.79235497858293300000,0.45526807714727700000,mandiri
91,10,9110,SARMI,0.84626947370569000000,0.85390816350091800000,1.00000000000000000000,mandiri
82,72,8272,KOTA TIDORE KEPULAUAN,0.84029732973398900000,0.82725004851253500000,0.09642747644310630000,mandiri
74,10,7410,BUTON UTARA,0.83692205330077000000,0.81667652416018400000,0.12444196228097100000,mandiri
82,5,8205,KEPULAUAN SULA,0.83668097364801000000,0.79787113109211600000,0.12317129276895300000,mandiri
16,6,1606,MUSI BANYUASIN,0.83370409572663600000,0.79697550588693500000,0.39978378117793400000,mandiri
12,15,1215,PAKPAK BHARAT,0.83175169112989500000,0.80520280402076800000,0.11494451282138200000,mandiri
91,19,9119,SUPIORI,0.82918774304383600000,0.78751194118799200000,1.00000000000000000000,mandiri
91,20,9120,MAMBERAMO RAYA,0.82883569569389000000,0.76638745991566200000,1.00000000000000000000,mandiri
16,73,1673,KOTA LUBUKLINGGAU,0.82842769263811900000,0.86316513312229000000,0.24650573811349900000,mandiri
74,7,7407,WAKATOBI,0.82672710160624800000,0.80116617412020100000,0.11235910954433800000,mandiri
52,72,5272,KOTA BIMA,0.82459380511961900000,0.73676259472160400000,0.20265409349173400000,mandiri
13,9,1309,KEPULAUAN MENTAWAI,0.82120205754580000000,0.78554397240069900000,0.19820511430413800000,mandiri
21,5,2105,KEPULAUAN ANAMBAS,0.82052340455851900000,0.70712046952433900000,1.00000000000000000000,mandiri
19,3,1903,BANGKA SELATAN,0.82001327567627100000,0.75475791106059300000,0.21418081479628100000,mandiri
15,7,1507,TANJUNG JABUNG TIMUR,0.81833840343424600000,0.77358015453773600000,0.22063625989280800000,mandiri
81,6,8106,SERAM BAGIAN BARAT,0.81789047480415500000,0.78924264317812100000,0.31682029168600700000,mandiri
53,16,5316,NAGEKEO,0.81783378194714700000,0.79063421744405600000,0.16469798796068300000,mandiri
81,3,8103,MALUKU TENGGARA BARAT,0.81607359184324700000,0.80062224021373600000,0.14909843987040300000,mandiri
13,11,1311,SOLOK SELATAN,0.81263107132738100000,0.78156651509189200000,0.17821033622013200000,mandiri
71,10,7110,BOLAANG MONGONDOW TIMUR,0.81235942886154100000,0.78870199566535300000,0.09209103291947570000,mandiri
74,3,7403,MUNA,0.81119487790868400000,0.81903178739253400000,1.00000000000000000000,mandiri
74,14,7414,BUTON TENGAH,0.80907537153609000000,0.79575334302968900000,0.16497417998079600000,mandiri
12,74,1274,KOTA TANJUNG BALAI,0.80832321773062600000,0.73291952028692200000,0.28410642292727000000,mandiri
