No,Tahun,Daerah,ID,CHT-A,CHT-R,KFD,IKFD,Kode Kategori,Kode Kategori
59,2017,Provinsi Sumatera Barat,990303,4.290.887.332,4.290.887.332,1.716.728.327.962,"0,525",Rendah,2
60,2017,Kab. Limapuluh Kota,990331,2.944.583.993,2.944.583.993,302.209.219.171,"0,642",Rendah,2
61,2017,Kab. Agam,990310,842.183.751,842.183.751,283.628.162.287,"0,603",Rendah,2
62,2017,Kab. Kepulauan Mentawai,980060,238.383.129,121.267.629,407.540.259.964,"0,866",Sedang,3
63,2017,Kab. Padang Pariaman,990352,238.383.129,238.383.129,261.154.414.700,"0,555",Rendah,2
64,2017,Kab. Pasaman,990324,577.551.266,577.551.266,309.603.818.145,"0,658",Rendah,2
65,2017,Kab. Pesisir Selatan,990366,238.383.130,238.383.130,378.620.140.326,"0,805",Sedang,3
66,2017,Kab. Sijunjung,990387,238.383.129,238.383.129,213.894.318.506,"0,455",Sangat Rendah,1
67,2017,Kab. Solok,990345,606.139.532,606.139.532,298.604.079.975,"0,635",Rendah,2
68,2017,Kab. Tanah Datar,990370,947.413.772,947.413.772,284.137.149.942,"0,604",Rendah,2
69,2017,Kota Bukit Tinggi,990391,238.382.130,121.267.630,146.172.853.693,"0,311",Sangat Rendah,1
70,2017,Kota Padang Panjang,990409,238.382.130,238.382.130,194.475.470.279,"0,413",Sangat Rendah,1
71,2017,Kota Padang,990434,238.383.129,238.383.129,614.019.902.790,"1,305",Tinggi,4
72,2017,Kota Payakumbuh,990441,632.857.425,632.857.425,183.947.323.587,"0,391",Sangat Rendah,1
73,2017,Kota Sawahlunto,990420,600.748.146,600.748.146,219.724.925.596,"0,467",Sangat Rendah,1
74,2017,Kota Solok,990413,238.382.130,238.382.130,196.386.856.200,"0,417",Sangat Rendah,1
75,2017,Kota Pariaman,997611,238.382.130,238.382.130,192.647.591.850,"0,409",Sangat Rendah,1
76,2017,Kab. Pasaman Barat,987595,238.383.129,238.383.129,307.353.617.385,"0,653",Rendah,2
77,2017,Kab. Dharmasraya,987574,238.383.130,238.383.130,284.925.062.050,"0,606",Rendah,2
78,2017,Kab. Solok Selatan,987581,238.383.129,238.383.129,272.309.852.151,"0,579",Rendah,2
79,2017,Provinsi Riau,990455,,,3.447.578.446.551,"1,055",Tinggi,4
