id_pemda,nama_pemda,apbd_pra,apbd_pasca,trd_pra,trd_pasca,pad_pra,pad_pasca,totbl_covid,pad_transfer_pra,pad_transfer_pasca,pad_apbd_pra,pad_apbd_pasca
990750,"Kota Bengkulu",1.53E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
998215,"Kab. Kaur",9.22E+11,8.18E+11,6.41E+11,5.62E+11,74328699019,67861965007,15587000000,0.116039789,0.120815999,0.080619124,0.082923251
998201,"Kab. Seluma",1.03E+12,9.38E+11,7.44E+11,6.44E+11,61896476255,56902547830,10551042600,0.083230922,0.0883692,0.060190737,0.060646718
998503,"Kab. Mukomuko",1.08E+12,9.80E+11,8.63E+11,7.73E+11,1.26E+11,1.26E+11,12096167000,0.146171462,0.163183543,0.116501989,0.128822714
987600,"Kab. Lebong",8.02E+11,5.72E+11,5.94E+11,5.18E+11,47701948251,47701948251,0,0.080328735,0.092043375,0.059502162,0.083387043
987617,"Kab. Kepahiang",8.72E+11,6.18E+11,7.02E+11,6.17E+11,44900410352,39025191780,18749173106,0.063970741,0.063235068,0.051510405,0.063135202
977710,"Kab. Bengkulu Tengah",8.20E+11,7.56E+11,7.78E+11,7.01E+11,25699524000,20013874000,24756322000,0.033030604,0.028558672,0.031331277,0.026468295
990764,"Provinsi Lampung",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990807,"Kab. Lampung Barat",1.15E+12,9.75E+11,8.12E+11,6.80E+11,65728304508,62743506545,30223353580,0.080952308,0.092217924,0.057231826,0.064324304
990771,"Kab. Lampung Selatan",2.59E+12,2.31E+12,1.90E+12,1.68E+12,3.35E+11,3.00E+11,0,0.176492098,0.1792475,0.129378302,0.130110692
990785,"Kab. Lampung Tengah",2.81E+12,2.59E+12,2.32E+12,2.05E+12,2.11E+11,1.77E+11,0,0.090969099,0.08621708,0.075170661,0.068155111
990792,"Kab. Lampung Utara",1.91E+12,1.68E+12,1.56E+12,1.38E+12,1.20E+11,1.11E+11,0,0.076943419,0.080606819,0.062631195,0.065909273
980191,"Kab. Lampung Timur",2.44E+12,2.21E+12,1.62E+12,1.39E+12,1.53E+11,1.39E+11,0,0.094869307,0.100355525,0.062962648,0.063116315
993351,"Kab. Tanggamus",1.92E+12,1.69E+12,1.60E+12,1.47E+12,1.18E+11,98380038213,58938385133,0.073652139,0.066758,0.061258268,0.058211252
993347,"Kab. Tulang Bawang",1.36E+12,1.17E+12,1.07E+12,9.03E+11,1.02E+11,92381666769,65296691624,0.095394153,0.102360245,0.075323875,0.078988257
980206,"Kab. Way Kanan",1.46E+12,1.13E+12,1.21E+12,1.05E+12,59801600703,57464600653,40345515057,0.049371441,0.054699726,0.040860598,0.050669968
990811,"Kota Bandar Lampung",3.06E+12,2.77E+12,1.50E+12,1.36E+12,1.13E+12,1.13E+12,85376734193,0.754611576,0.829074697,0.369073977,0.407620193
980210,"Kota Metro",1.01E+12,8.18E+11,6.39E+11,5.68E+11,1.78E+11,1.74E+11,46651961790,0.279438676,0.306768532,0.176433998,0.212976907
975311,"Kab. Pesawaran",1.44E+12,1.23E+12,1.18E+12,1.04E+12,73216422234,46711982234,0,0.062145295,0.044792818,0.050755173,0.037856666
978423,"Kab. Pringsewu",1.35E+12,0,8.91E+11,7.68E+11,1.18E+11,1.04E+11,1.13E+11,0.132800007,0.13604223,0.087921053,#DIV/0!
978432,"Kab. Mesuji",9.35E+11,7.51E+11,7.65E+11,6.48E+11,47207416981,39674338088,24549794979,0.061704011,0.061251266,0.050467125,0.052854719
978448,"Kab. Tulang Bawang Barat",1.09E+12,5.78E+11,6.16E+11,5.58E+11,22569490825,22569490825,30943540829,0.036642595,0.04044022,0.020621087,0.039067944
999003,"Kab. Pesisir Barat",9.05E+11,8.20E+11,6.21E+11,5.41E+11,41773684633,41448846533,21072072960,0.06726077,0.076683352,0.046160995,0.050541621
990828,"Provinsi DKI Jakarta",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990881,"Provinsi Jawa Barat",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
991003,"Kab. Bandung",5.01E+12,4.76E+12,3.59E+12,3.42E+12,1.01E+12,4.59E+11,4.62E+11,0.280423469,0.134411675,0.200868158,0.096423718
990963,"Kab. Bekasi",6.56E+12,6.20E+12,2.24E+12,2.08E+12,2.45E+12,2.28E+12,4.18E+11,1.09392368,1.099280676,0.373114007,0.36858466
990938,"Kab. Bogor",7.69E+12,7.67E+12,4.49E+12,4.20E+12,2.94E+12,2.29E+12,4.67E+11,0.654359007,0.545343614,0.382306173,0.299099056
991045,"Kab. Ciamis",2.51E+12,2.64E+12,2.06E+12,1.88E+12,2.53E+11,2.46E+11,1.13E+11,0.12280113,0.130496094,0.100800821,0.093028941
990959,"Kab. Cianjur",3.71E+12,3.29E+12,2.74E+12,2.50E+12,7.10E+11,6.27E+11,43040377454,0.259030447,0.251201466,0.19151699,0.190522419
991052,"Kab. Cirebon",3.63E+12,4.04E+12,2.52E+12,2.50E+12,6.45E+11,5.90E+11,1.39E+11,0.2558858,0.236432994,0.177446882,0.146014386
991024,"Kab. Garut",4.60E+12,4.15E+12,3.48E+12,3.24E+12,5.01E+11,4.65E+11,1.68E+11,0.143961063,0.143560843,0.108825339,0.111994389
991070,"Kab. Indramayu",3.45E+12,2.84E+12,2.51E+12,2.30E+12,4.63E+11,4.23E+11,1.01E+11,0.184522409,0.183743668,0.134318005,0.148996322
990970,"Kab. Karawang",4.62E+12,4.27E+12,2.79E+12,2.59E+12,1.27E+12,9.88E+11,1.83E+11,0.456874857,0.382258243,0.275704771,0.231487069
991066,"Kab. Kuningan",2.66E+12,2.37E+12,2.15E+12,1.96E+12,3.23E+11,3.11E+11,41000000000,0.150196847,0.158743809,0.12176838,0.131110241
991087,"Kab. Majalengka",3.67E+12,3.40E+12,2.26E+12,2.10E+12,5.49E+11,5.16E+11,43337720945,0.243445346,0.245873007,0.149550693,0.151841916
990984,"Kab. Purwakarta",2.39E+12,2.30E+12,1.45E+12,1.33E+12,5.37E+11,4.48E+11,51732850000,0.371507885,0.337521385,0.224865673,0.19459058
990991,"Kab. Subang",3.41E+12,3.76E+12,2.00E+12,1.80E+12,5.45E+11,3.95E+11,1.18E+11,0.272880955,0.220120869,0.159534975,0.105125387
990942,"Kab. Sukabumi",4.18E+12,3.87E+12,2.38E+12,2.13E+12,6.37E+11,5.61E+11,3.12E+11,0.267328917,0.262993701,0.152261596,0.144729052
991010,"Kab. Sumedang",2.82E+12,2.73E+12,2.27E+12,2.24E+12,5.53E+11,4.75E+11,53553264480,0.243972343,0.212163475,0.196123607,0.174087064
991031,"Kab. Tasikmalaya",3.25E+12,3.67E+12,2.63E+12,2.37E+12,2.83E+11,2.66E+11,48472201000,0.10746869,0.111934495,0.086862938,0.072403763
991091,"Kota Bandung",7.70E+12,7.12E+12,2.55E+12,2.35E+12,3.34E+12,2.89E+12,5.90E+11,1.31121237,1.232019581,0.433777003,0.405812159
993330,"Kota Bekasi",5.83E+12,5.03E+12,1.78E+12,1.60E+12,3.02E+12,2.10E+12,1.37E+11,1.698085607,1.311605997,0.519059426,0.416717875
991109,"Kota Bogor",2.78E+12,2.69E+12,1.35E+12,1.56E+12,1.08E+12,8.34E+11,3.82E+11,0.802208932,0.53405175,0.389695606,0.309670604
